Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding,SEED:10#Note->someanchorsaddedviafixscript
3,38,86,High D,1000000000001_0000000000,87,High Eb,1000000000011_0000000000
3,47,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
3,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
3,38,89,High F (side),1000000000111_0000000100,90,High F# (side),1000000000111_0010000100
3,37,73,C# Without octave key,0000000000000_0000000000,74,D With octave key,1010110000000_1100100000
3,47,70,Bb Without octave key (Bis key),0011100000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
3,47,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
3,42,59,Low B,0010110010000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100
3,37,73,C# Without octave key,0000000000000_0000000000,75,Eb With octave key,1010110000000_1100110000
3,45,81,A With octave key,1010100000000_0000000000,89,High F (side),1000000000111_0000000100
3,44,62,D Without octave key,0010110000000_1100100000,82,Bb With octave key (side key),1010100000000_0000000001
3,37,72,C Without octave key,0000100000000_0000000000,74,D With octave key,1010110000000_1100100000
3,39,83,B With octave key,1010000000000_0000000000,85,C# With octave key,1000000000000_0000000000
3,45,81,A With octave key,1010100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,38,88,High E,1000000000011_0000000100,90,High F# (side),1000000000111_0010000100
3,42,58,Low Bb,0010110001000_1100101000,76,E With octave key,1010110000000_1100000000
3,44,64,E Without octave key,0010110000000_1100000000,82,Bb With octave key (side key),1010100000000_0000000001
3,39,81,A With octave key,1010100000000_0000000000,83,B With octave key,1010000000000_0000000000
3,42,60,Low C,0010110000000_1100101000,78,F# With octave key (main),1010110000000_0100000000
3,40,67,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000
3,42,61,Low C#,0010110100000_1100101000,79,G With octave key,1010110000000_0000000000
3,40,66,F# Without octave key (Chromatic),0010110000000_1001000000,86,High D,1000000000001_0000000000
3,43,61,Low C#,0010110100000_1100101000,83,B With octave key,1010000000000_0000000000
3,45,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (side),1000000000111_0000000100
3,45,82,Bb With octave key (Bis key),1011100000000_0000000000,90,High F# (side),1000000000111_0010000100
3,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
3,43,60,Low C,0010110000000_1100101000,83,B With octave key,1010000000000_0000000000
3,39,82,Bb With octave key (Bis key),1011100000000_0000000000,84,C With octave key,1000100000000_0000000000
3,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
3,41,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000
3,48,66,F# Without octave key (Chromatic),0010110000000_1001000000,82,Bb With octave key (side key),1010100000000_0000000001
3,43,61,Low C#,0010110100000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000
3,39,79,G With octave key,1010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000
3,38,89,High F (front),1100100000000_0000000000,90,High F# (front),1100100000000_0010000000
3,40,66,F# Without octave key (main),0010110000000_0100000000,86,High D,1000000000001_0000000000
3,48,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001
3,41,67,G Without octave key,0010110000000_0000000000,86,High D,1000000000001_0000000000
3,45,83,B With octave key,1010000000000_0000000000,90,High F# (side),1000000000111_0010000100
3,48,65,F Without octave key,0010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001
4,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000
4,49,66,F# Without octave key (main),0010110000000_0100000000,69,A Without octave key,0010100000000_0000000000
4,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000
4,59,85,C# With octave key,1000000000000_0000000000,89,High F (side),1000000000111_0000000100
4,51,64,E Without octave key,0010110000000_1100000000,89,High F (front),1100100000000_0000000000
4,58,59,Low B,0010110010000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,52,59,Low B,0010110010000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
4,50,77,F With octave key,1010110000000_1000000000,81,A With octave key,1010100000000_0000000000
4,50,77,F With octave key,1010110000000_1000000000,80,G# With octave key (default),1010111000000_0000000000
4,57,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
4,55,72,C Without octave key,0000100000000_0000000000,86,High D,1000000000001_0000000000
4,56,60,Low C,0010110000000_1100101000,77,F With octave key,1010110000000_1000000000
4,59,82,Bb With octave key (Bis key),1011100000000_0000000000,88,High E,1000000000011_0000000100
4,53,70,Bb Without octave key (side key),0010100000000_0000000000,87,High Eb,1000000000011_0000000000
4,52,61,Low C#,0010110100000_1100101000,80,G# With octave key (default),1010111000000_0000000000
4,54,65,F Without octave key,0010110000000_1000000000,89,High F (front),1100100000000_0000000000
4,55,71,B Without octave key,0010000000000_0000000000,86,High D,1000000000001_0000000000
4,58,58,Low Bb,0010110001000_1100101000,72,C Without octave key,0000100000000_0000000000
4,59,83,B With octave key,1010000000000_0000000000,89,High F (side),1000000000111_0000000100
4,50,78,F# With octave key (main),1010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000
4,49,65,F Without octave key,0010110000000_1000000000,69,A Without octave key,0010100000000_0000000000
4,56,61,Low C#,0010110100000_1100101000,77,F With octave key,1010110000000_1000000000
4,53,70,Bb Without octave key (side key),0010100000000_0000000000,86,High D,1000000000001_0000000000
4,57,60,Low C,0010110000000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
4,51,64,E Without octave key,0010110000000_1100000000,90,High F# (front),1100100000000_0010000000
4,59,82,Bb With octave key (side key),1010100000000_0000000001,87,High Eb,1000000000011_0000000000
4,53,69,A Without octave key,0010100000000_0000000000,87,High Eb,1000000000011_0000000000
4,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,69,A Without octave key,0010100000000_0000000000
4,49,62,D Without octave key,0010110000000_1100100000,66,F# Without octave key (main),0010110000000_0100000000
4,49,65,F Without octave key,0010110000000_1000000000,68,G# Without octave key (default),0010111000000_0000000000
4,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,52,58,Low Bb,0010110001000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000
4,59,82,Bb With octave key (side key),1010100000000_0000000001,86,High D,1000000000001_0000000000
4,59,84,C With octave key,1000100000000_0000000000,90,High F# (side),1000000000111_0010000100
4,54,66,F# Without octave key (main),0010110000000_0100000000,89,High F (front),1100100000000_0000000000
4,50,78,F# With octave key (main),1010110000000_0100000000,81,A With octave key,1010100000000_0000000000
4,54,67,G Without octave key,0010110000000_0000000000,90,High F# (front),1100100000000_0010000000
4,54,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (front),1100100000000_0000000000
4,53,69,A Without octave key,0010100000000_0000000000,86,High D,1000000000001_0000000000
4,59,85,C# With octave key,1000000000000_0000000000,90,High F# (side),1000000000111_0010000100
4,58,58,Low Bb,0010110001000_1100101000,73,C# Without octave key,0000000000000_0000000000
4,59,84,C With octave key,1000100000000_0000000000,89,High F (side),1000000000111_0000000100
4,53,70,Bb Without octave key (Bis key),0011100000000_0000000000,86,High D,1000000000001_0000000000
4,59,85,C# With octave key,1000000000000_0000000000,88,High E,1000000000011_0000000100
4,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000
4,54,66,F# Without octave key (main),0010110000000_0100000000,90,High F# (front),1100100000000_0010000000
4,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000
4,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (Bis key),0011100000000_0000000000
4,56,61,Low C#,0010110100000_1100101000,78,F# With octave key (main),1010110000000_0100000000
4,50,81,A With octave key,1010100000000_0000000000,84,C With octave key,1000100000000_0000000000
4,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000
4,49,64,E Without octave key,0010110000000_1100000000,68,G# Without octave key (default),0010111000000_0000000000
4,49,66,F# Without octave key (main),0010110000000_0100000000,70,Bb Without octave key (side key),0010100000000_0000000000
4,56,59,Low B,0010110010000_1100101000,76,E With octave key,1010110000000_1100000000
4,53,70,Bb Without octave key (Bis key),0011100000000_0000000000,87,High Eb,1000000000011_0000000000
4,51,62,D Without octave key,0010110000000_1100100000,89,High F (front),1100100000000_0000000000
